Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Central African Republic,CAF,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,8.234246307,8.066811155,9.009108752,12.1458882,11.37106037,10.46012264,8.597198398,11.35295028,10.55839326,9.386257099,10.09204687,9.87265779,11.34467195,9.207414164,9.018252264,5.482903984,5.98443619,5.428546957,5.530500174,6.129003073,6.36218334,6.128829623,6.870883609,6.48664889,11.72370709,12.39411118,11.98777275,13.1765942,13.51490443,9.600908351,11.19657477,10.76869253,11.30473731,11.74748198,8.200600048,8.505942912,10.01612694,9.906454271,11.81342489,9.184143426,8.56965502,9.353347823,10.52590099,14.37934858,12.02761194,14.76585195,13.51951889,
Canada,CAN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,1.552589752,1.884782574,1.919364965,3.173289802,6.207652703,4.89083546,4.379608727,4.679355863,4.337777646,8.915316145,9.584494328,6.268604692,3.846551263,4.609324385,4.751576038,4.689245793,2.23884007,3.033463812,3.097617874,3.012426815,3.139504005,2.332531537,2.63202149,2.846330295,2.634519744,2.642379316,3.402852522,2.799854933,1.739078496,2.462810265,4.542149459,4.007022679,3.03705251,3.416885012,4.898388122,5.015394731,4.818089652,4.549278786,5.815678342,2.421049818,2.798066696,3.280197542,2.441000836,2.546216282,2.484630471,0.938217292,1.012128405,
Central Europe and the Baltics,CEB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.799472952,1.943533593,2.049920152,1.494250379,1.293061822,1.666233198,0.821901415,3.467020299,4.192362266,4.227964972,3.044657374,2.237032076,1.733775025,1.420504495,1.122101779,1.104622411,1.033985669,0.923806151,0.545536204,0.617835324,0.960620832,1.067892212,0.769629378,0.755231687,1.176481904,1.095942012,1.305467605,1.107992644,1.59440763,0.951878348,1.180340307,1.465607358,1.226310896,0.934331101,0.830245087,0.654295645,0.631357232,
Switzerland,CHE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.06013872,0.054456204,0.047154999,0.038907687,0.043673816,0.041015802,0.038265489,0.030842152,0.029322121,0.034015071,0.039788682,0.021704083,0.02132054,0.021163297,0.020138464,0.019921465,0.018967636,0.020065727,0.018107719,0.017479646,0.03483114,0.020599105,0.017944881,0.018426759,0.01411735,0.014619695,0.016815315,0.018724394,0.016443577,0.015116307,0.015409083,0.012921124,0.01159224,0.012275003,0.013724411,0.010978031,0.010086707,
Channel Islands,CHI,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chile,CHL,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,10.07460167,6.5242872,5.711241397,7.258623459,10.90580973,12.77157945,12.53936369,8.615452206,7.335889531,9.298294826,8.678816488,5.508738302,6.505264028,9.02223814,7.909796981,8.858848629,6.92081253,8.454380539,11.76593934,12.7391335,11.08926747,9.091666954,7.540391478,5.873427188,6.91040388,8.005180277,6.554011347,6.546850194,4.782153833,5.669782187,7.073713359,6.638554556,6.706435865,7.626396754,12.07187381,13.32850286,21.42475154,21.35605423,19.58853459,14.70169998,18.10284528,18.54827245,16.34331217,15.098512,14.73991927,12.42145035,10.49665185,
China,CHN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.816483684,0.818800251,0.95594043,1.829207514,4.691981131,6.74762916,8.452184038,8.787619682,10.39622995,16.11356317,19.05504502,18.38805336,15.21196889,11.499978,9.693301816,9.316925451,5.41160659,6.04689944,5.921277973,6.621220744,8.170467214,5.269848503,4.49847026,3.752434926,2.856553482,2.899497448,2.721566602,2.123228135,1.314459672,1.430407124,2.475530111,2.489984021,1.824025294,2.021771658,4.677977384,5.074335503,5.51972171,6.285569349,9.81238688,3.736265779,6.249177729,7.861041437,4.955641003,3.99796693,2.896284869,1.063013615,1.130333272,
Cote d'Ivoire,CIV,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,5.882119608,5.648935825,6.249129835,7.463187892,6.977363725,5.739879044,5.841877201,5.292520997,4.334079925,4.789501553,4.957569344,4.797475605,6.098200194,6.290211748,5.635545757,4.956584436,3.759925772,3.426119381,2.876015659,2.950499937,4.102545417,3.508473678,3.484044247,3.399897247,5.331534077,5.082923529,4.697187068,4.314386407,3.795058605,3.334459896,4.279949231,3.286567339,3.454548413,3.613701831,3.597852113,5.474757893,8.050418623,7.155408529,8.094313559,5.543551866,6.436813073,8.805365007,8.373424597,6.601679103,5.502251129,5.837973494,5.872345474,
Cameroon,CMR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,3.876029495,3.458218881,3.562986965,4.502066303,4.271211503,4.305887814,4.042825032,5.560182266,5.545724347,10.42597261,14.42780724,11.84245998,10.80886319,11.48954137,14.67583106,14.76649436,6.385585572,7.993515751,6.393296745,9.860659231,12.53088897,7.32438402,8.355823252,5.527209155,7.931003649,9.969865041,10.37500473,9.018997334,6.007505317,6.418304806,11.04501371,7.48646417,7.206027971,7.060660563,7.077569508,8.96475597,10.05491161,10.21148865,11.3932145,6.240406227,7.518522517,8.841542124,9.174278107,8.460936382,7.7945253,6.163237592,6.33585294,
"Congo, Dem. Rep.",COD,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,11.50504658,7.723552324,7.377019402,11.51181562,10.96412797,6.568728523,7.780352002,7.916526591,6.629621214,8.512132216,11.1693803,10.21841367,10.13645771,11.07316787,13.82048104,13.81312841,13.11532988,16.85534217,19.40108486,20.08595908,19.99861866,16.83209597,17.87754299,11.20660338,24.44914411,37.33453853,37.27138637,33.01856161,32.42389727,28.61720496,7.70787161,18.58046262,18.78645306,29.49706904,23.97689721,23.87498757,24.96630574,29.26478316,32.45103906,32.50535314,33.42436316,39.58592457,38.62354067,37.23506797,34.6644769,30.82803524,32.69764788,
"Congo, Rep.",COG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,6.633287775,5.894924843,5.822117413,9.624750502,31.86786677,18.48651777,22.98380204,23.49328742,26.32106132,47.87193779,42.78030893,31.67550649,22.17710725,29.36983957,31.0449086,32.99665891,19.37138057,26.19658317,26.14598963,40.26738479,47.02873715,28.46314679,30.15448042,47.25322375,43.23978351,40.98656359,44.78901956,50.9030074,32.09941846,47.06812825,61.94497078,49.72432216,45.08197456,40.53851326,44.68284414,55.96420347,58.78077338,51.15599242,53.93630595,35.72225754,49.14441875,60.12124675,57.97503969,45.37912023,39.27289899,22.53866927,24.86045235,
Colombia,COL,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.512444051,0.541672006,0.627333216,0.834245916,3.266354822,3.421826067,3.072857756,2.29366867,1.910327991,3.84198939,4.509279635,3.647868711,2.527589234,3.122973004,3.095789116,3.478911249,2.343594724,4.249138382,3.170684932,5.004587935,7.221417223,3.936512005,3.450563085,2.901749459,1.867308674,2.389161729,3.089043805,2.523686864,1.411041954,3.402703929,5.085198747,3.327084521,3.419586193,4.203760605,5.690050039,6.090650839,7.016523353,6.350337875,8.360317687,4.371812003,6.26861613,9.293133359,7.969650807,7.040817694,6.444469077,3.416447784,3.541749022,
Comoros,COM,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.399625842,1.394723151,2.213927864,1.362678558,1.322857112,0.887537435,1.063674742,0.868647429,0.93839018,1.029904183,1.259570541,1.293059333,1.258243816,1.088000358,1.875675808,2.903782653,2.964695385,3.025300293,3.147127282,2.183126358,2.40935531,2.178782783,2.362799041,2.852631889,2.123452204,2.202198324,2.175157895,2.718532647,3.005498498,3.022761463,2.727865064,2.851042006,3.398980627,3.270037751,3.239036589,4.239901224,4.228333542,
