Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,CHN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55462825,35.62839589,38.58708139,27.63634494,,62.12779501,34.55136473,22.99875533,23.36955083,26.15883159,17.16415373,42.11248681,177.5091337,84.92567672,153.2455525,135.3590566,88.13387311,58.72520734,80.10618504,114.0899122,355.4198164,162.9997853,140.3170071
Cote d'Ivoire,CIV,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,1.068838734,1.346584203,0.318209489,0.160083356,0.141164953,0.123228902,0.148815956,0.288673229,0.242269375,0.255437014,0.268161721,0.868098677,1.680208943,1.627166127,3.222628128,1.299357205,2.631738497,2.239837815,3.31458354,1.603505738,1.180338772,0.798341843,1.052756347,0.851036108,1.776299311,6.51495077,9.605243845,8.315437993,7.391532012,8.489213149,7.907920548,7.735589606,8.711509523,5.368131455,4.552140397,3.974528758,4.754526214,4.229742718
Comoros,COM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115336656,0.208001454,0.136709405,0.116282207,0.137427517,0.237637046,1.467494549,,,,0.668183793,0.2028088,0.109762571,0.273578843,0.268061386,0.177898669,0.102544433,0.110951205,0.087145407,0.072299846,0.132877441,,,,
Caribbean small states,CSS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049266728,,,,,,,,,,,
Cyprus,CYP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426384811,1.187766181,3.019300694,4.631489227,4.195199781,6.763891833,60.37992398,93.69539821,29.7975713,5.749565505,2.128710941,1.519310657,2.52791691,15.42121245,18.54306077,6.445527097,6.789136177,2.904673696,1.63779252,1.176493035,0.171146903,0.242344652,0.665271841,0.368322318,0.319266712
Czech Republic,CZE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584768681,3.211671646,4.591949797,9.449291142,9.244522108,7.107329754,6.064348124,10.78683651,5.106507713,7.230135739,8.801206153,15.11378958,25.19817006,18.51141467,19.96995136,13.69459253,12.91929494,10.64065352,9.040644528,8.455638016,5.859052887,5.185779311,,,
Germany,DEU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,2.147194375,2.040402947,2.201842694,2.549113004,1.688049218,1.494519849,1.718170832,1.912430124,4.022861697,3.724912315,11.73098483,14.56687881,32.81674075,24.73767431,24.97378993,30.73607033,23.50198427,20.25706309,25.60128163,27.36684186,22.38502142,5.983614358,44.54077579,65.47411204,59.47813125,93.70666907,66.69831034,41.92882312,40.59811091,41.90125831,45.01515992,64.97495578,94.61862595,111.6532779,52.3052014,43.74057559,41.87681374,35.26950043,34.97953622,32.61873622,42.79560195,32.32253181,42.38272895
Djibouti,DJI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.133417665,0.145818875,0.09842464,0.102712173,0.089375195,0.076707221,0.092003984,0.092397567,0.277072243,0.269722423,2.402736952,2.334127675,1.960940167,4.327275409,12.45287349,8.603454351,7.2088413,9.943254698,13.98671394,16.51734642,14.16508861,18.018743,25.2747376,37.93022828,31.2208973,54.77002131,40.06644367,18.1979236,20.11838392,27.1270423,,,,,,,,,,,,,
Dominican Republic,DOM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.78186868,27.30096307,31.36978305,25.8256082,,50.35251551,29.43287802,21.13842281,24.65363524,27.16721088,18.59043912,37.85181815,145.4856814,70.80866658,127.1339827,112.3268241,75.27343769,52.84531994,71.25932098,99.82508757,303.9119726,141.0097668,122.3378207
Early-demographic dividend,EAR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91391362,15.80557932,10.63403363,11.64749627,12.63330986,11.09652538,13.35883902,16.9491905,9.479349144,10.40929142,24.10407689,38.73671672,53.87600514,60.29441675,52.45136824,37.58399485,39.27808772,32.83252804,22.63797118,24.03212678,22.15938267,26.14015521,25.25937181,25.07311749,28.43134596
East Asia & Pacific,EAS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,9.83997812,13.37591564,12.34948446,16.98132933,13.43888034,13.77514459,17.75865996,12.32795846,18.5882899,19.92665076,25.97409413,47.00198796,71.77346002,76.87947295,94.5840223,58.13026678,33.9551835,22.81690464,30.98696842,37.67554578,26.68101188,33.07714944,46.44423457,42.98304057,67.80666303,66.34148594,48.3777735,51.30494043,56.32052102,69.43283254,77.95604115,101.3729829,168.3810167,108.3765694,120.239576,111.493268,88.54790523,65.16014588,89.45996866,101.0800981,236.6701204,128.7073502,124.9333133
Europe & Central Asia (excluding high income),ECA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.40424392,16.90485195,20.47756896,22.98439148,23.77285249,45.06643783,69.24214683,48.03634236,36.89640158,32.22652259,26.06057095,18.82191966,15.65155304,14.98444742,19.46698928,18.46798623,20.23171144
Europe & Central Asia,ECS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,3.440458251,2.675688433,2.374881513,2.497746379,2.013011892,4.129640222,4.508987704,2.205586517,7.385974229,7.948793489,14.24181638,13.1075832,28.66096517,20.56722896,23.19171037,21.44789638,14.30094331,12.95894925,19.31192011,23.20623345,21.20331824,20.32750747,38.81766982,55.80223043,65.7977129,101.8309794,82.19308028,51.48051645,48.51089406,49.7924664,50.0246629,71.36583455,103.0879194,79.37917132,57.16036203,56.67496697,49.56742574,41.15168006,36.93695637,46.01887508,,,
Ecuador,ECU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31397695,0.460445021,0.278279972,0.22086458,0.033593148,0.093152181,0.099848509,0.0196172,0.046236385,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.99623601,47.14773168,58.85502401,39.35513569,17.00200323,6.736196939,6.118488467,4.412930559,8.654145168,4.436485395,3.027732573,6.130292841
Euro area,EMU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,1.790015233,1.679337226,1.710022206,2.122017257,1.405111797,1.383561289,1.599354547,1.337532206,2.32659432,2.360019917,6.222566001,9.306053902,16.10435627,11.6546235,14.0144515,15.3520213,11.7885408,10.3694793,14.57313402,17.45187415,15.1113855,11.40244394,31.15221076,50.87119316,62.7726885,101.4681943,78.24198827,51.72537391,48.3096938,51.96216207,52.92741582,73.0865504,102.4808914,81.23678506,48.61328338,46.32179635,42.29551738,37.1431743,37.43825577,47.65340041,,,
Eritrea,ERI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,1.578644354,1.660104833,,1.341129675,0.522953381,0.382433284,0.759563156,0.617457679,0.697707703,1.331729443,2.069334489,6.307280128,12.85436293,7.003750444,9.560186293,8.454028112,8.372922601,6.052055822,8.667950906,13.09479767,10.75661955,16.15579499,32.29870889,60.95775944,162.0123102,265.9634768,238.0940617,64.31973017,68.18300803,80.49543663,84.80586493,118.5008251,154.0141738,105.6332644,85.25166054,95.99436723,75.77562665,64.69842663,67.18512566,72.02510591,81.68347619,47.4795633,56.56380885
Estonia,EST,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.30170128,4.896193368,5.840892599,4.136062702,3.14938283,6.25592931,7.45654693,,,,,,,,,,,,,
Ethiopia,ETH,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,3.440458251,2.675688433,2.374881513,2.497746379,2.013011892,2.133677798,2.385340056,2.247331804,3.568502394,3.816889826,7.807648931,10.62475195,21.67340085,14.74620151,17.02384668,16.78913055,14.06001699,12.75006378,17.87850725,21.15394416,18.55324623,16.7496888,34.80106286,51.94092384,64.75327229,100.5299468,83.00159158,50.82681984,48.42438917,53.0677627,53.63011369,75.24986048,102.011639,78.3068082,56.39282886,57.02486293,51.26879392,44.34911729,39.2781358,50.25177198,,,
Fragile and conflict affected situations,FCS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,0.26044762,0.468811651,0.725535908,1.026625842,2.685513338,7.350039393,6.507370417,6.538394214,2.924504493,1.183288911,1.738612653,8.7496995,12.86856161,14.31191769,3.431060127,27.32261816,47.48211031,77.69641364,167.8032574,138.5029594,103.0313553,83.19564493,95.92983468,,,,,,,,,,,,,
Fiji,FJI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
